,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,val_f1,test_f1,test_tp,test_tn,test_fp,test_fn,val_tp,val_tn,val_fp,val_fn,Session_trial,Reward,Prop_pred_reward_trial
0,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_1,0.0,1.0
1,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_10,0.0,0.9873417721518988
2,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_11,1.0,0.7721518987341772
3,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_12,0.0,0.0
4,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_2,1.0,0.9367088607594937
5,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_3,0.0,1.0
6,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_4,1.0,1.0
7,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_5,1.0,0.7721518987341772
8,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_6,1.0,1.0
9,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_7,0.0,1.0
10,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_8,1.0,1.0
11,Control,1,0.8911392405063291,0.5411392405063291,0.7790084388185654,0.7890295358649789,0.7083333333333334,0.5833333333333334,0.9234042553191488,0.6656418139892389,0.45675105485232065,0.08438818565400844,0.3322784810126582,0.12658227848101267,0.6867088607594937,0.19936708860759494,0.09229957805907173,0.021624472573839662,7_9,1.0,0.0
0,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_1,0.0,0.46835443037974683
1,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_10,0.0,0.012658227848101266
2,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_11,0.0,0.06329113924050633
3,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_12,1.0,1.0
4,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_2,1.0,0.0
5,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_3,0.0,1.0
6,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_4,1.0,0.0
7,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_5,0.0,0.0
8,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_6,1.0,0.7088607594936709
9,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_7,0.0,1.0
10,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_8,0.0,0.9493670886075949
11,Control,10,0.7569620253164556,0.5179324894514767,0.8338607594936709,0.5168776371308017,0.7083333333333334,0.4166666666666667,0.835841313269494,0.48361581920903957,0.22573839662447256,0.2921940928270042,0.2911392405063291,0.1909282700421941,0.6445147679324894,0.10232067510548523,0.18934599156118143,0.06381856540084388,7_9,1.0,1.0
0,Control,M3,0.6955696202531646,0.7436708860759493,0.8834388185654009,0.3649789029535865,0.7083333333333334,0.4166666666666667,0.8071570576540756,0.6720647773279352,0.2626582278481013,0.4810126582278481,0.10232067510548523,0.1540084388185654,0.6424050632911392,0.05063291139240506,0.2410337552742616,0.06592827004219409,7_1,0.0,0.0
1,Control,M3,0.6955696202531646,0.7436708860759493,0.8834388185654009,0.3649789029535865,0.7083333333333334,0.4166666666666667,0.8071570576540756,0.6720647773279352,0.2626582278481013,0.4810126582278481,0.10232067510548523,0.1540084388185654,0.6424050632911392,0.05063291139240506,0.2410337552742616,0.06592827004219409,7_10,1.0,0.5443037974683544
2,Control,M3,0.6955696202531646,0.7436708860759493,0.8834388185654009,0.3649789029535865,0.7083333333333334,0.4166666666666667,0.8071570576540756,0.6720647773279352,0.2626582278481013,0.4810126582278481,0.10232067510548523,0.1540084388185654,0.6424050632911392,0.05063291139240506,0.2410337552742616,0.06592827004219409,7_11,1.0,0.6962025316455697
3,Control,M3,0.6955696202531646,0.7436708860759493,0.8834388185654009,0.3649789029535865,0.7083333333333334,0.4166666666666667,0.8071570576540756,0.6720647773279352,0.2626582278481013,0.4810126582278481,0.10232067510548523,0.1540084388185654,0.6424050632911392,0.05063291139240506,0.2410337552742616,0.06592827004219409,7_12,0.0,0.45569620253164556
4,Control,M3,0.6955696202531646,0.7436708860759493,0.8834388185654009,0.3649789029535865,0.7083333333333334,0.4166666666666667,0.8071570576540756,0.6720647773279352,0.2626582278481013,0.4810126582278481,0.10232067510548523,0.1540084388185654,0.6424050632911392,0.05063291139240506,0.2410337552742616,0.06592827004219409,7_2,0.0,0.0
