,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,Session_trial,Reward,Prop_pred_reward_trial
0,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_1,0.0,0.0
1,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_10,1.0,0.0
2,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_11,1.0,0.0
3,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_12,0.0,0.48717948717948717
4,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_2,1.0,0.15384615384615385
5,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_3,1.0,0.10256410256410256
6,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_4,0.0,0.0
7,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_5,1.0,1.0
8,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_6,1.0,0.0
9,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_7,1.0,0.0
10,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_8,1.0,1.0
11,Control,1,0.8933333333333333,0.4807692307692308,0.780982905982906,0.31196581196581197,0.7083333333333334,0.75,9_9,1.0,1.0
0,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_1,1.0,0.9743589743589743
1,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_10,1.0,1.0
